                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1908,                 3.2838,                  1.654,                0.38883,                0.39136,                0.30293,                0.18672,                 1.2143,                 1.9808,                 2.0293,               0.070158,              0.0033158,              0.0033158
                      1,                 1.0477,                 1.6249,                 1.4896,                0.43565,                0.39518,                0.32727,                0.20417,                 1.1614,                 1.7686,                 2.0156,               0.039895,              0.0063858,              0.0063858
                      2,                  1.105,                 1.5885,                 1.5384,                0.26709,                0.33976,                0.24257,                0.13237,                 1.4517,                 2.0323,                 2.2702,              0.0093673,              0.0091918,              0.0091918
                      3,                 1.1666,                 1.6463,                 1.5824,                0.29471,                0.42481,                0.28542,                0.16338,                 1.2739,                 1.8186,                 2.1651,               0.008812,               0.008812,               0.008812
                      4,                 1.1757,                 1.6347,                 1.5944,                0.44073,                0.43986,                0.35054,                0.20771,                 1.1894,                 1.6069,                  1.979,               0.008812,               0.008812,               0.008812
                      5,                 1.1442,                 1.5398,                 1.5815,                0.46481,                0.39494,                0.35928,                0.19841,                 1.3119,                 1.6522,                 2.1515,               0.008416,               0.008416,               0.008416
                      6,                 1.1222,                 1.4704,                 1.5536,                 0.5002,                0.35013,                0.38329,                0.23782,                 1.1419,                 1.4942,                 1.9436,                0.00802,                0.00802,                0.00802
                      7,                 1.0722,                 1.3801,                 1.5089,                0.38212,                0.56849,                0.40294,                0.26532,                   1.03,                 1.5177,                 1.8152,               0.007624,               0.007624,               0.007624
                      8,                 1.0582,                 1.3459,                 1.4961,                0.47388,                0.44281,                0.40761,                0.25716,                 1.1921,                 1.4403,                 1.9582,               0.007228,               0.007228,               0.007228
                      9,                 1.0416,                 1.2908,                 1.4677,                 0.5113,                0.46404,                0.46781,                0.30619,                 1.0679,                 1.3331,                 1.8264,               0.006832,               0.006832,               0.006832
                     10,                 1.0288,                 1.2422,                  1.463,                0.51208,                0.36536,                 0.4358,                0.27487,                 1.2495,                 1.4551,                 2.0555,               0.006436,               0.006436,               0.006436
                     11,                0.99268,                 1.1905,                 1.4407,                0.53757,                 0.4894,                0.49859,                0.34537,                0.98481,                 1.2138,                 1.7214,                0.00604,                0.00604,                0.00604
                     12,                0.97412,                 1.1592,                 1.4211,                0.50523,                0.54707,                0.45372,                0.31117,                0.98135,                 1.2205,                 1.7454,               0.005644,               0.005644,               0.005644
                     13,                0.96306,                 1.1095,                 1.4143,                0.50384,                0.50422,                0.50049,                0.35929,                0.97901,                 1.2354,                 1.7011,               0.005248,               0.005248,               0.005248
                     14,                0.93624,                 1.0826,                 1.3801,                0.55907,                0.50335,                0.48343,                0.34051,                0.91203,                 1.2034,                 1.6394,               0.004852,               0.004852,               0.004852
                     15,                 0.9411,                 1.0225,                 1.5072,                0.52434,                 0.4982,                0.48536,                0.33175,                0.88389,                 1.1722,                 1.6238,               0.004456,               0.004456,               0.004456
                     16,                0.89913,                0.95743,                 1.4704,                0.48082,                 0.5842,                0.50833,                0.37143,                0.88247,                 1.1253,                 1.5963,                0.00406,                0.00406,                0.00406
                     17,                0.87012,                0.91064,                 1.4323,                0.51513,                0.52701,                0.50183,                0.36062,                0.88637,                 1.1537,                 1.5665,               0.003664,               0.003664,               0.003664
                     18,                0.83822,                0.86729,                 1.4065,                0.51894,                0.47923,                0.48768,                 0.3529,                0.84344,                 1.1297,                 1.5175,               0.003268,               0.003268,               0.003268
                     19,                0.80405,                0.82644,                 1.3805,                 0.5166,                0.59791,                0.51526,                0.38023,                0.82883,                 1.0601,                 1.5076,               0.002872,               0.002872,               0.002872
                     20,                0.77573,                0.77257,                 1.3458,                0.54485,                0.56357,                0.52496,                0.40406,                0.82291,                 1.0694,                 1.4888,               0.002476,               0.002476,               0.002476
                     21,                0.75185,                0.72847,                  1.323,                0.55845,                0.54812,                0.55811,                 0.4258,                0.81289,                0.99194,                 1.4874,                0.00208,                0.00208,                0.00208
                     22,                0.72712,                0.69521,                 1.3063,                0.52515,                0.63594,                 0.5691,                0.43599,                 0.7922,                 1.0538,                 1.4451,               0.001684,               0.001684,               0.001684
                     23,                0.70225,                0.66648,                 1.2712,                0.56018,                0.52702,                0.56016,                0.43128,                0.77241,                 1.0005,                   1.43,               0.001288,               0.001288,               0.001288
                     24,                0.68583,                0.63658,                 1.2591,                0.54159,                0.59867,                0.55888,                0.44703,                0.73769,                 1.0197,                 1.3916,               0.000892,               0.000892,               0.000892
